Streamflow (below node or reach listed)
"Scenario: MySimulation346, River: Rio Urubu"
Cubic Meters per Second
"Rio Urubu Nodes and Reaches";"0 \ Headflow";"1 \ BACIA DO URUBU Runoff";"2 \ Reach";"3 \ Withdrawal Node 5";"4 \ Reach";"5 \ D1 Return";"6 \ Reach";"7 \ Withdrawal Node 1";"8 \ Reach";"9 \ D2 Return";"10 \ Reach";"11 \ Rio Duere Inflow";"12 \ Reach";"13 \ Withdrawal Node 6";"14 \ Reach";"15 \ D3 Return";"15 \ Foz Rio Urubu Regionalizado 2 (gauge)";"16 \ Reach"
13/10/2018; ;2.2331E-8;2.2331E-8;2.2331E-8;2.2331E-8;2.2331E-8;2.2331E-8;2.2331E-8;2.2331E-8;2.2331E-8;2.2331E-8;2.52852;2.52852;2.52852;2.52852;2.52852;0.661262;2.52852
14/10/2018; ;2.63788E-8;2.63788E-8;2.63788E-8;2.63788E-8;2.63788E-8;2.63788E-8;2.63788E-8;2.63788E-8;2.63788E-8;2.63788E-8;2.5287;2.5287;2.5287;2.5287;2.5287;0.6258;2.5287
15/10/2018; ;3.07098E-8;3.07098E-8;3.07098E-8;3.07098E-8;3.07098E-8;3.07098E-8;3.07098E-8;3.07098E-8;3.07098E-8;3.07098E-8;2.58633;2.58633;2.58633;2.58633;2.58633;0.626495;2.58633
16/10/2018; ;3.54669E-8;3.54669E-8;3.54669E-8;3.54669E-8;3.54669E-8;3.54669E-8;0;0;0;0;2.54024;2.54024;2.54024;2.54024;2.54024;0.650134;2.54024
17/10/2018; ;4.0878E-8;4.0878E-8;4.0878E-8;4.0878E-8;4.0878E-8;4.0878E-8;4.0878E-8;4.0878E-8;4.0878E-8;4.0878E-8;2.52984;2.52984;2.52984;2.52984;2.52984;0.691857;2.52984
18/10/2018; ;4.8025E-8;4.8025E-8;0;0;0;0;0;0;0;0;2.59248;2.59248;2.59248;2.59248;2.59248;1.71752;2.59248
19/10/2018; ;5.61574E-8;5.61574E-8;5.61574E-8;5.61574E-8;5.61574E-8;5.61574E-8;5.61574E-8;5.61574E-8;5.61574E-8;5.61574E-8;2.54502;2.54502;2.54502;2.54502;2.54502;1.82547;2.54502
20/10/2018; ;6.53941E-8;6.53941E-8;6.53941E-8;6.53941E-8;6.53941E-8;6.53941E-8;6.53941E-8;6.53941E-8;6.53941E-8;6.53941E-8;2.56613;2.56613;2.56613;2.56613;2.56613;2.05353;2.56613
21/10/2018; ;7.56859E-8;7.56859E-8;7.56859E-8;7.56859E-8;7.56859E-8;7.56859E-8;7.56859E-8;7.56859E-8;7.56859E-8;7.56859E-8;2.53342;2.53342;2.53342;2.53342;2.53342;2.03242;2.53342
22/10/2018; ;8.70819E-8;8.70819E-8;8.70819E-8;8.70819E-8;8.70819E-8;8.70819E-8;8.70819E-8;8.70819E-8;8.70819E-8;8.70819E-8;2.57329;2.57329;2.57329;2.57329;2.57329;1.98522;2.57329
23/10/2018; ;1.00935E-7;1.00935E-7;1.00935E-7;1.00935E-7;1.00935E-7;1.00935E-7;1.00935E-7;1.00935E-7;1.00935E-7;1.00935E-7;2.57455;2.57455;2.57455;2.57455;2.57455;2.03637;2.57455
24/10/2018; ;1.16634E-7;1.16634E-7;1.16634E-7;1.16634E-7;1.16634E-7;1.16634E-7;1.16634E-7;1.16634E-7;1.16634E-7;1.16634E-7;2.57577;2.57577;2.57577;2.57577;2.57577;2.04125;2.57577
25/10/2018; ;1.34855E-7;1.34855E-7;1.34855E-7;1.34855E-7;1.34855E-7;1.34855E-7;1.34855E-7;1.34855E-7;1.34855E-7;1.34855E-7;2.53733;2.53733;2.53733;2.53733;2.53733;1.98411;2.53733
26/10/2018; ;1.54322E-7;1.54322E-7;1.54322E-7;1.54322E-7;1.54322E-7;1.54322E-7;1.54322E-7;1.54322E-7;1.54322E-7;1.54322E-7;2.53724;2.53724;2.53724;2.53724;2.53724;1.99013;2.53724
27/10/2018; ;1.74564E-7;1.74564E-7;1.74564E-7;1.74564E-7;1.74564E-7;1.74564E-7;1.74564E-7;1.74564E-7;1.74564E-7;1.74564E-7;2.56164;2.56164;2.56164;2.56164;2.56164;2.18196;2.56164
28/10/2018; ;1.95778E-7;1.95778E-7;1.95778E-7;1.95778E-7;1.95778E-7;1.95778E-7;1.95778E-7;1.95778E-7;1.95778E-7;1.95778E-7;2.82666;2.82666;2.82666;2.82666;2.82666;2.31838;2.82666
29/10/2018; ;2.18435E-7;2.18435E-7;2.18435E-7;2.18435E-7;2.18435E-7;2.18435E-7;2.18435E-7;2.18435E-7;2.18435E-7;2.18435E-7;2.55103;2.55103;2.55103;2.55103;2.55103;2.57109;2.55103
30/10/2018; ;2.42707E-7;2.42707E-7;2.42707E-7;2.42707E-7;2.42707E-7;2.42707E-7;2.42707E-7;2.42707E-7;2.42707E-7;2.42707E-7;2.62092;2.62092;2.62092;2.62092;2.62092;2.6391;2.62092
31/10/2018; ;2.71771E-7;2.71771E-7;2.71771E-7;2.71771E-7;2.71771E-7;2.71771E-7;2.71771E-7;2.71771E-7;2.71771E-7;2.71771E-7;2.64785;2.64785;2.64785;2.64785;2.64785;0;2.64785
01/11/2018; ;3.08112E-7;3.08112E-7;3.08112E-7;3.08112E-7;3.08112E-7;3.08112E-7;3.08112E-7;3.08112E-7;3.08112E-7;3.08112E-7;2.80495;2.80495;2.80495;2.80495;2.80495;2.70718;2.80495
02/11/2018; ;3.47824E-7;3.47824E-7;3.47824E-7;3.47824E-7;3.47824E-7;3.47824E-7;3.47824E-7;3.47824E-7;3.47824E-7;3.47824E-7;2.86646;2.86646;2.86646;2.86646;2.86646;2.70676;2.86646
03/11/2018; ;3.92097E-7;3.92097E-7;3.92097E-7;3.92097E-7;3.92097E-7;3.92097E-7;3.92097E-7;3.92097E-7;3.92097E-7;3.92097E-7;3.04388;3.04388;3.04388;3.04388;3.04388;2.7292;3.04388
04/11/2018; ;4.44622E-7;4.44622E-7;4.44622E-7;4.44622E-7;4.44622E-7;4.44622E-7;4.44622E-7;4.44622E-7;4.44622E-7;4.44622E-7;3.26065;3.26065;3.26065;3.26065;3.26065;2.81537;3.26065
05/11/2018; ;5.0322E-7;5.0322E-7;5.0322E-7;5.0322E-7;5.0322E-7;5.0322E-7;5.0322E-7;5.0322E-7;5.0322E-7;5.0322E-7;3.2621;3.2621;3.2621;3.2621;3.2621;2.97731;3.2621
06/11/2018; ;5.68839E-7;5.68839E-7;5.68839E-7;5.68839E-7;5.68839E-7;5.68839E-7;5.68839E-7;5.68839E-7;5.68839E-7;5.68839E-7;4.51354;4.51354;4.51354;4.51354;4.51354;3.06484;4.51354
07/11/2018; ;6.46839E-7;6.46839E-7;6.46839E-7;6.46839E-7;6.46839E-7;6.46839E-7;6.46839E-7;6.46839E-7;6.46839E-7;6.46839E-7;3.53832;3.53832;3.53832;3.53832;3.53832;3.30329;3.53832
