Streamflow (below node or reach listed)
"Scenario: MySimulation19, River: Rio Urubu"
Cubic Meters per Second
"Rio Urubu Nodes and Reaches";"0 \ Headflow";"1 \ BACIA DO URUBU Runoff";"2 \ Reach";"3 \ Withdrawal Node 5";"4 \ Reach";"5 \ D1 Return";"6 \ Reach";"7 \ Withdrawal Node 1";"8 \ Reach";"9 \ D2 Return";"9 \ Foz Rio Urubu Regionalizado 2 (gauge)";"9 \ Foz Urubu REGIONALIZADO (gauge)";"10 \ Reach";"11 \ Rio Duere Inflow";"12 \ Reach";"13 \ Withdrawal Node 6";"14 \ Reach";"15 \ D3 Return";"15 \ FOZ URUBU_TELEMÉTRICA_26798500 (gauge)";"16 \ Reach"
07/10/2018; ;2.17133;2.17133;2.17133;2.17133;2.17133;2.17133;2.17133;2.17133;2.17133;0;3.57113;2.17133;8.18311;8.18311;8.18311;8.18311;8.18311;8.33981;8.18311
08/10/2018; ;2.1673;2.1673;2.1673;2.1673;2.1673;2.1673;2.1673;2.1673;2.1673;0.851088;3.60329;2.1673;8.16339;8.16339;8.16339;8.16339;8.16339;8.41492;8.16339
09/10/2018; ;2.16285;2.16285;2.16285;2.16285;2.16285;2.16285;2.16285;2.16285;2.16285;0.8344;3.40261;2.16285;8.15891;8.15891;8.15891;8.15891;8.15891;7.94625;8.15891
10/10/2018; ;2.15515;2.15515;2.15515;2.15515;2.15515;2.15515;2.15515;2.15515;2.15515;0.833705;3.34314;2.15515;8.13681;8.13681;8.13681;8.13681;8.13681;7.80738;8.13681
11/10/2018; ;2.14722;2.14722;2.14722;2.14722;2.14722;2.14722;2.14722;2.14722;2.14722;0.819798;3.17938;2.14722;8.11405;8.11405;8.11405;8.11405;8.11405;7.42494;8.11405
12/10/2018; ;2.14145;2.14145;2.14145;2.14145;2.14145;2.14145;2.14145;2.14145;2.14145;0.630667;3.36577;2.14145;8.09991;8.09991;8.09991;8.09991;8.09991;7.86022;8.09991
13/10/2018; ;2.13576;2.13576;2.13576;2.13576;2.13576;2.13576;2.13576;2.13576;2.13576;0.661262;2.61526;2.13576;8.07547;8.07547;8.07547;8.07547;8.07547;6.10753;8.07547
14/10/2018; ;2.12764;2.12764;2.12764;2.12764;2.12764;2.12764;2.12764;2.12764;2.12764;0.6258;2.84381;2.12764;8.05429;8.05429;8.05429;8.05429;8.05429;6.64128;8.05429
15/10/2018; ;2.12469;2.12469;2.12469;2.12469;2.12469;2.12469;2.12469;2.12469;2.12469;0.626495;3.18613;2.12469;8.12889;8.12889;8.12889;8.12889;8.12889;7.4407;8.12889
16/10/2018; ;2.12331;2.12331;2.12331;2.12331;2.12331;2.12331;2.12331;2.12331;2.12331;0.650134;1.90538;2.12331;8.05241;8.05241;8.05241;8.05241;8.05241;4.44971;8.05241
